編碼,代表,發行日期
0,整層住家,2018/05/31
1,獨立套房,2018/05/31
2,分租套房,2018/05/31
3,雅房,2018/05/31
4,車位,2018/05/31
5,其他,2018/05/31
6,倉庫,2018/05/31
7,場地,2018/05/31
65535,不明,2018/05/31
