編碼,代表,發行日期
0,公寓,2018/05/31
1,透天,2018/05/31
2,電梯大樓,2018/05/31
3,華廈,2018/05/31
4,工商業大樓,2018/05/31
5,倉庫,2018/05/31
6,店面（店鋪）,2018/05/31
7,廠辦,2018/05/31
8,工廠,2018/08/31
9,農舍,2018/08/31
65535,不明,2018/05/31
