編碼,代表,發行日期
0,南投縣中寮鄉,2018/05/31
1,南投縣仁愛鄉,2018/05/31
2,南投縣信義鄉,2018/05/31
3,南投縣南投市,2018/05/31
4,南投縣名間鄉,2018/05/31
5,南投縣國姓鄉,2018/05/31
6,南投縣埔里鎮,2018/05/31
7,南投縣水里鄉,2018/05/31
8,南投縣竹山鎮,2018/05/31
9,南投縣草屯鎮,2018/05/31
10,南投縣集集鎮,2018/05/31
11,南投縣魚池鄉,2018/05/31
12,南投縣鹿谷鄉,2018/05/31
500,嘉義市東區,2018/05/31
501,嘉義市西區,2018/05/31
600,嘉義縣中埔鄉,2018/05/31
601,嘉義縣六腳鄉,2018/05/31
602,嘉義縣大埔鄉,2018/05/31
603,嘉義縣大林鎮,2018/05/31
604,嘉義縣太保市,2018/05/31
605,嘉義縣布袋鎮,2018/05/31
606,嘉義縣新港鄉,2018/05/31
607,嘉義縣朴子市,2018/05/31
608,嘉義縣東石鄉,2018/05/31
609,嘉義縣梅山鄉,2018/05/31
610,嘉義縣民雄鄉,2018/05/31
611,嘉義縣水上鄉,2018/05/31
612,嘉義縣溪口鄉,2018/05/31
613,嘉義縣番路鄉,2018/05/31
614,嘉義縣竹崎鄉,2018/05/31
615,嘉義縣義竹鄉,2018/05/31
616,嘉義縣阿里山鄉,2018/05/31
617,嘉義縣鹿草鄉,2018/05/31
700,基隆市七堵區,2018/05/31
701,基隆市中山區,2018/05/31
702,基隆市中正區,2018/05/31
703,基隆市仁愛區,2018/05/31
704,基隆市信義區,2018/05/31
705,基隆市安樂區,2018/05/31
706,基隆市暖暖區,2018/05/31
800,宜蘭縣三星鄉,2018/05/31
801,宜蘭縣五結鄉,2018/05/31
802,宜蘭縣冬山鄉,2018/05/31
803,宜蘭縣南澳鄉,2018/05/31
804,宜蘭縣員山鄉,2018/05/31
805,宜蘭縣壯圍鄉,2018/05/31
806,宜蘭縣大同鄉,2018/05/31
807,宜蘭縣宜蘭市,2018/05/31
808,宜蘭縣礁溪鄉,2018/05/31
809,宜蘭縣羅東鎮,2018/05/31
810,宜蘭縣蘇澳鎮,2018/05/31
811,宜蘭縣頭城鎮,2018/05/31
900,屏東縣三地門鄉,2018/05/31
901,屏東縣九如鄉,2018/05/31
902,屏東縣佳冬鄉,2018/05/31
903,屏東縣來義鄉,2018/05/31
904,屏東縣內埔鄉,2018/05/31
905,屏東縣南州鄉,2018/05/31
906,屏東縣屏東市,2018/05/31
907,屏東縣崁頂鄉,2018/05/31
908,屏東縣恆春鎮,2018/05/31
909,屏東縣新園鄉,2018/05/31
910,屏東縣新埤鄉,2018/05/31
911,屏東縣春日鄉,2018/05/31
912,屏東縣東港鎮,2018/05/31
913,屏東縣枋寮鄉,2018/05/31
914,屏東縣枋山鄉,2018/05/31
915,屏東縣林邊鄉,2018/05/31
916,屏東縣泰武鄉,2018/05/31
917,屏東縣滿州鄉,2018/05/31
918,屏東縣潮州鎮,2018/05/31
919,屏東縣牡丹鄉,2018/05/31
920,屏東縣獅子鄉,2018/05/31
921,屏東縣琉球鄉,2018/05/31
922,屏東縣瑪家鄉,2018/05/31
923,屏東縣竹田鄉,2018/05/31
924,屏東縣萬丹鄉,2018/05/31
925,屏東縣萬巒鄉,2018/05/31
926,屏東縣車城鄉,2018/05/31
927,屏東縣里港鄉,2018/05/31
928,屏東縣長治鄉,2018/05/31
929,屏東縣霧臺鄉,2018/05/31
930,屏東縣高樹鄉,2018/05/31
931,屏東縣鹽埔鄉,2018/05/31
932,屏東縣麟洛鄉,2018/05/31
1000,彰化縣二林鎮,2018/05/31
1001,彰化縣二水鄉,2018/05/31
1002,彰化縣伸港鄉,2018/05/31
1003,彰化縣北斗鎮,2018/05/31
1004,彰化縣和美鎮,2018/05/31
1005,彰化縣員林市,2018/05/31
1006,彰化縣埔心鄉,2018/05/31
1007,彰化縣埔鹽鄉,2018/05/31
1008,彰化縣埤頭鄉,2018/05/31
1009,彰化縣大城鄉,2018/05/31
1010,彰化縣大村鄉,2018/05/31
1011,彰化縣彰化市,2018/05/31
1012,彰化縣永靖鄉,2018/05/31
1013,彰化縣溪州鄉,2018/05/31
1014,彰化縣溪湖鎮,2018/05/31
1015,彰化縣田中鎮,2018/05/31
1016,彰化縣田尾鄉,2018/05/31
1017,彰化縣社頭鄉,2018/05/31
1018,彰化縣福興鄉,2018/05/31
1019,彰化縣秀水鄉,2018/05/31
1020,彰化縣竹塘鄉,2018/05/31
1021,彰化縣線西鄉,2018/05/31
1022,彰化縣芬園鄉,2018/05/31
1023,彰化縣花壇鄉,2018/05/31
1024,彰化縣芳苑鄉,2018/05/31
1025,彰化縣鹿港鎮,2018/05/31
1100,新北市三峽區,2018/05/31
1101,新北市三芝區,2018/05/31
1102,新北市三重區,2018/05/31
1103,新北市中和區,2018/05/31
1104,新北市五股區,2018/05/31
1105,新北市八里區,2018/05/31
1106,新北市土城區,2018/05/31
1107,新北市坪林區,2018/05/31
1108,新北市平溪區,2018/05/31
1109,新北市新店區,2018/05/31
1110,新北市新莊區,2018/05/31
1111,新北市板橋區,2018/05/31
1112,新北市林口區,2018/05/31
1113,新北市樹林區,2018/05/31
1114,新北市永和區,2018/05/31
